Latitude, Longitude, COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa, COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
15.0727,158.204,2.64882e+18,99.7474,117.051,139.417,167.024,183.873,175.511,137.7,100.267,77.3108,50.0221,300.617
15.276,158.233,2.6683e+18,97.9321,111.698,129.618,153.35,171.458,177.011,155.778,120.94,88.7114,52.1466,300.311
14.6958,157.704,2.47469e+18,92.6231,99.8902,109.643,123.551,135.946,149.476,154.661,143.228,106.401,56.1646,299.993
15.1088,157.762,2.54583e+18,100.09,120.276,146.071,173.65,182.139,159.759,115.598,83.3434,68.9957,48.4713,299.822
15.3156,157.791,2.61631e+18,96.3687,107.305,121.93,141.636,157.945,168.425,159.065,132.148,96.845,54.0619,300.328
14.7251,157.244,2.4738e+18,90.0678,94.2517,101.125,112.066,122.47,138.465,156.845,167.345,131.437,60.0971,299.275
14.9363,157.273,2.52067e+18,91.4194,96.5627,104.402,116.07,126.884,142.92,160.182,167.658,129.806,59.6298,299.827
15.1474,157.302,2.55216e+18,95.0808,104.488,116.964,133.433,147.665,159.603,156.442,136.313,101.419,55.3501,300.339
15.3589,157.331,2.60626e+18,92.5326,97.9314,106.37,118.993,131.328,150.086,171.056,178.487,129.725,56.9332,300.122
14.7546,156.759,2.52754e+18,93.8708,103.44,115.882,132.014,146.696,159.273,155.907,134.935,98.5533,54.172,299.747
14.9716,156.788,2.56703e+18,96.7288,110.066,127.244,147.835,163.621,167.287,145.87,114.348,86.1383,52.4227,300.143
15.1886,156.817,2.6101e+18,98.3196,114.015,134.39,158.037,174.242,172.256,141.411,106.078,80.7058,50.9896,300.143
15.406,156.847,2.60056e+18,97.8585,111.107,128.34,148.535,163.498,168.163,149.485,118.797,88.6667,52.4944,300.423
14.9776,156.532,2.54726e+18,93.3629,101.078,111.56,125.409,138.327,153.509,161.105,152.017,112.599,56.6941,299.959
15.198,156.561,2.56995e+18,96.4451,109.555,126.715,146.851,162.302,167.293,147.758,116.429,87.0613,52.4382,299.667
15.4189,156.591,2.55449e+18,94.1667,101.9,112.738,126.818,139.511,154.4,161.294,150.837,110.649,55.711,300.055
14.6728,156.983,2.51359e+18,91.0585,96.1637,103.789,115.403,126.788,143.674,161.527,168.19,126.544,58.3979,299.992
14.8868,157.012,2.53574e+18,93.1233,100.935,111.402,125.618,138.94,154.22,160.98,149.511,109.158,55.9986,299.734
15.1008,157.041,2.57352e+18,95.3772,105.715,119.229,136.31,151.272,163.278,157.301,134.059,99.0126,54.8615,300.186
15.3152,157.07,2.58691e+18,93.6478,100.414,110.067,123.419,135.819,152.383,165.69,163.89,121.75,57.6393,300.351
14.5896,157.436,2.45269e+18,96.6079,113.305,134.021,157.218,168.124,156.283,120.756,88.8091,71.5689,49.4065,299.187
14.7985,157.465,2.47838e+18,93.6763,103.108,115.251,131.182,144.401,154.48,149.506,129.109,96.6878,54.6697,299.474
15.0073,157.494,2.50668e+18,94.522,105.67,120.097,138.053,152.146,159.758,147.915,121.62,91.1259,53.1979,299.049
15.2165,157.524,2.59002e+18,97.6572,111.465,129.369,151.163,166.463,168.995,146.228,113.371,85.178,51.8203,300.204
14.507,157.869,2.4661e+18,92.4611,99.7766,109.341,123.172,135.53,148.741,153.116,141.946,107.125,57.2141,300.16
14.7117,157.898,2.45399e+18,92.561,99.8815,109.675,123.594,135.573,147.963,151.216,139.336,105.786,56.6078,299.813
14.9164,157.927,2.51089e+18,94.8458,104.956,117.856,134.633,148.179,157.691,150.649,128.076,95.729,54.1705,299.96
15.1215,157.956,2.68209e+18,97.9789,111.776,129.801,153.503,172.801,179.072,156.676,121.692,89.6005,52.6263,300.637
14.4246,158.285,2.40374e+18,95.9866,111.259,129.841,152.008,162.587,152.22,119.027,88.6833,72.3053,49.6547,299.368
14.6263,158.314,2.48053e+18,92.9943,101.923,113.506,130.018,144.084,155.327,151.314,131.239,98.216,54.8897,299.365
14.828,158.344,2.5337e+18,94.4412,103.899,115.934,132.48,146.608,158.559,155.799,135.492,99.9923,55.0344,300.095
15.03,158.373,2.72463e+18,101.8,123.144,151.36,185.506,201.648,179.43,128.754,90.0748,71.8974,48.8892,300.758
14.3418,158.691,2.33565e+18,90.1366,94.9855,101.831,113.365,123.235,135.564,143.27,139.261,108.745,57.5364,299.599
14.5414,158.72,2.43672e+18,93.4114,102.503,113.824,129.759,142.708,151.945,145.672,124.75,93.8223,53.92,299.728
14.7409,158.75,2.63849e+18,97.3103,111.329,129.061,153.284,171.978,176.075,151.071,115.943,86.8807,52.4133,300.415
14.9407,158.779,2.64011e+18,95.475,107.065,122.157,143.728,162.243,173.552,161.947,131.801,95.4685,53.654,299.743
14.2584,159.089,2.27889e+18,87.1399,88.5565,92.3134,101.081,108.653,121.54,139.346,156.271,128.394,60.536,298.946
14.4568,159.118,2.53742e+18,87.7169,89.286,93.6339,103.481,113,130.109,159.878,199.706,166.064,65.4842,300.305
14.655,159.148,2.59944e+18,96.9025,110.692,127.965,152.151,170.371,172.68,146.6,112.34,85.1451,52.0958,300.238
14.8536,159.179,2.61838e+18,91.3537,96.3393,103.823,116.971,129.639,148.887,171.529,182.698,140.068,61.7393,299.942
14.3715,159.513,2.5487e+18,95.0148,105.609,118.62,139.154,156.199,166.105,153.329,124.719,92.2869,53.5658,300.476
14.5694,159.544,2.57937e+18,95.0521,105.826,119.283,139.823,156.991,167.533,156.853,129.162,94.7031,53.8105,300.198
14.7676,159.575,2.54748e+18,88.5931,90.7796,95.755,106.395,116.704,134.948,164.451,196.1,154.58,62.2381,299.08
14.0873,159.878,2.48924e+18,91.7063,98.3933,106.86,122.521,136.718,152.293,157.962,146.316,109.762,57.4792,300.394
14.2857,159.909,2.53751e+18,93.5842,101.922,112.146,129.722,145.232,159.811,159.802,140.313,102.856,55.6605,300.614
14.484,159.939,2.58446e+18,96.7671,109.67,125.68,150.437,169.014,171.955,146.435,112.506,85.5093,52.2806,300.496
14.6826,159.971,2.46843e+18,94.6682,106.385,120.552,141.83,156.56,159.585,139.623,109.988,84.5835,51.8766,298.93
13.9975,160.276,2.48817e+18,94.9921,107.27,121.745,145.29,161.434,163.125,138.967,107.463,83.0476,52.1957,299.955
14.1972,160.307,2.35268e+18,97.1229,113.672,132.338,157.346,163.742,144.507,106.618,78.3971,66.7948,48.3338,299.394
14.3968,160.339,2.54362e+18,95.997,108.106,122.967,147.551,165.347,168.223,144.074,111.451,85.2679,52.2799,300.198
14.5968,160.371,2.52122e+18,92.3093,99.6859,109.216,126.264,141.195,156.412,159.829,144.757,107.826,56.4927,299.142
13.9068,160.682,2.30882e+18,92.7134,101.556,111.32,128.849,140.238,144.075,129.914,106.53,84.1815,52.546,299.636
14.3106,160.746,2.46983e+18,93.2144,102.362,113.579,133.975,149.923,159.418,148.03,122.04,91.8606,53.4697,299.354
13.8116,161.099,2.25682e+18,92.0266,99.4666,107.392,122.982,133.192,138.574,128.426,107.882,85.1299,52.7017,299.895
14.4269,161.2,2.41824e+18,89.443,92.8293,98.2046,110.686,121.271,137.131,153.63,160.513,125.061,59.3045,299.307
13.7121,161.531,2.35245e+18,91.0826,96.5954,102.926,117.906,129.885,142.171,144.265,132.052,102.063,56.3543,300.838
13.9213,161.566,2.46417e+18,99.2848,118.745,141.339,176.334,183.899,153.059,104.28,73.2764,62.8806,47.3215,299.968
14.1304,161.601,2.41458e+18,91.4225,98.5298,106.988,124.418,138.005,150.179,147.936,130.554,100.118,55.4991,298.888
14.3398,161.636,2.20219e+18,95.6582,110.728,127.048,150.215,151.847,129.989,94.1193,69.4919,61.4658,46.5852,298.283
13.6069,161.985,2.40163e+18,86.29,87.2076,89.8153,100.123,109.363,125.179,149.038,181.083,153.128,60.7039,300.533
13.8214,162.021,2.36334e+18,91.0464,97.0449,103.9,119.778,132.32,144.825,145.506,130.975,99.2429,54.1881,299.91
14.0358,162.057,2.3936e+18,89.6711,93.878,99.3604,113.301,125.119,140.742,151.564,149.652,114.851,56.6684,299.481
14.2505,162.095,2.45609e+18,92.4085,99.1504,107.276,125.068,139.6,154.009,153.662,135.705,100.904,54.1166,300.053
13.4948,162.467,2.39775e+18,95.1299,107.793,120.881,146.625,161.745,157.008,125.134,92.5865,74.4962,50.9879,300.061
13.7159,162.504,2.50983e+18,99.1246,115.964,134.326,167.455,181.505,163.379,118.57,83.8815,69.5457,49.9418,301.02
